номер,url,заказчик,объект,Размещено,Обновлено,Окончание подачи заявок,Общая информация
№ 0323100013121000213,https://zakupki.gov.ru/epz/order/notice/inm111/view/common-info.html?regNumber=0323100013121000213,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОГРАНИЧНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ БЕЗОПАСНОСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО АМУРСКОЙ ОБЛАСТИ""",Поставка минеральной ваты,09.07.2021,09.07.2021,21.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка минеральной ваты', 'Реквизиты нормативного правового акта, являющегося основанием для осуществления закупки с\r\n                        учетом положений статьи 111 Федерального закона № 44-ФЗ': 'Постановление Правительства Российской Федерации от 27 ноября 2017 г. №1428 «Об особенностях осуществления закупки для нужд обороны страны и безопасности государства».', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': 'Связь с позицией плана-графика не установлена', 'Номер типовых условий контракта': 'Связь с типовым контрактом, типовыми условиями контракта не установлена', 'Дата и время окончания срока подачи заявок': '21.07.2021 4:00', 'Обязательное общественное обсуждение по закупке у единственного поставщика (подрядчика,\r\n                        исполнителя) не проводится в соответствии с пунктом 1.5 Порядка, утвержденного приказом\r\n                        Минэкономразвития России от 30.10.2015г. № 795 «Об утверждении Порядка обязательного\r\n                        общественного обсуждения крупных закупок товаров, работ, услуг для обеспечения государственных и\r\n                        муниципальных нужд в случае, если начальная (максимальная) цена контракта либо цена контракта,\r\n                        заключаемого с единственным поставщиком (подрядчиком, исполнителем), превышает один миллиард рублей»': 'Да'}"
№ 0222100000121000066,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0222100000121000066,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ-ОТДЕЛЕНИЕ ПЕНСИОННОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ХАБАРОВСКОМУ КРАЮ И ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ,Поставка составных частей для лазерных принтеров,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка составных частей для лазерных принтеров', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202102221000001001000065'}"
32110458108,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110458108,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОРЯКЭНЕРГО"" (Заказчик)","Поставка емкостей (резервуаров) V-5,0 м3 под размещение дизельного топлива",09.07.2021,09.07.2021,,{}
№ 0134300013521000090,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0134300013521000090,АДМИНИСТРАЦИЯ КИРЕНСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ,Выполнение работ по уничтожению дикорастущей конопли,09.07.2021,09.07.2021,16.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Запрос котировок в электронной форме', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Выполнение работ по уничтожению дикорастущей конопли', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103346000045001000055'}"
№ 0338200005321000030,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0338200005321000030,"ГОСУДАРСТВЕННОЕ  БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",Поставка хозяйственных товаров,30.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка хозяйственных товаров', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103382000053001000037'}"
№ 0322300073621000014,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0322300073621000014,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА Г. КОМСОМОЛЬСКА-НА-АМУРЕ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ",Оказание услуг по техническому обслуживанию лифта,08.07.2021,09.07.2021,15.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Запрос котировок в электронной форме', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Оказание услуг по техническому обслуживанию лифта', 'Этап закупки': 'Определение поставщика отменено', 'Сведения о связи с позицией плана-графика': '202103223000736001000085'}"
№ 0322100028121000015,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0322100028121000015,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ДАЛЬНЕВОСТОЧНОЕ УПРАВЛЕНИЕ ПО ГИДРОМЕТЕОРОЛОГИИ И МОНИТОРИНГУ ОКРУЖАЮЩЕЙ СРЕДЫ""","Поставка комплекса аппаратно-программного для медицинских  исследований на базе хроматографа ""Хроматэк-Кристалл 5000"" или эквивалент",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка комплекса аппаратно-программного для медицинских \xa0исследований на базе хроматографа ""Хроматэк-Кристалл 5000"" или эквивалент', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103221000281001000029'}"
№ 0351100021321000271,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0351100021321000271,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НОВОСИБИРСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ТРАВМАТОЛОГИИ И ОРТОПЕДИИ ИМ. Я.Л. ЦИВЬЯНА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",Поставка расходных материалов для операционного блока,09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка расходных материалов для операционного блока', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103511000213001000016'}"
№ 1016600002321000005,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=1016600002321000005,,Поставка дорожной краски,24.06.2021,09.07.2021,02.07.2021,"{'Определение поставщика (подрядчика, исполнителя) в части заключения контракта приостановлено по требованию контрольного органа\r\n                            (Жалоба №202100170547001806)': 'Перейти в реестр жалоб'}"
32110427869,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110427869,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛРОСА-ОХРАНА"" (Заказчик)",Поставка кабеленесущей продукции для монтажа системы видеонаблюдения на объектах Ленского отделения УМТС АК «АЛРОСА» (ПАО),,,09.07.2021 в 12:00,{}
